delta_x	porosity	k
4.000000e-06	8.924000e-01	2.926795e+01
2.000000e-06	8.945000e-01	2.753382e+01
1.000000e-06	8.943750e-01	2.772671e+01
5.000000e-07	8.945750e-01	2.743463e+01
